Unnamed: 0,_id,name
5744,5744,cellular carbohydrate biosynthetic process
5766,5766,TAAR5
5801,5801,Progesterone Congeners
5821,5821,cargo loading into COPII-coated vesicle
5830,5830,cellular response to low-density lipoprotein particle stimulus
5836,5836,coronary vein morphogenesis
5881,5881,ciliary basal body organization
5898,5898,LARS1
5899,5899,Erbb2
5921,5921,Carbamazepine
5924,5924,ARA1
5985,5985,cellular response to inorganic substance
5993,5993,Multifocal atrial tachycardia
6003,6003,Bicarbonate decreased serum
6018,6018,cellular response to hydrogen sulfide
6032,6032,Roxithromycin
6048,6048,PPARG
6060,6060,monosaccharide biosynthetic process
6093,6093,extracellular negative regulation of signal transduction
6104,6104,cellular hyperosmotic response
6120,6120,Osteoarticular pain
6123,6123,Thyroid carcinoma
6155,6155,ARNTL
6156,6156,STARD5
6183,6183,cellular response to nitrosative stress
6232,6232,LARS2-AS1
6242,6242,internal carotid artery
6284,6284,cardiac pacemaker cell development
6286,6286,regulation of intracellular sterol transport
6290,6290,Butobarbital
6356,6356,ornithine decarboxylase activator activity
6364,6364,Adenocarcinoma
6431,6431,cellular response to sterol depletion
6437,6437,2-oxoglutarate metabolic process
6464,6464,response to mitochondrial depolarisation
6554,6554,ZNF101P1
6567,6567,NOTCH1 Intracellular Domain Regulates Transcription
6571,6571,CARD8-AS1
6576,6576,Oedema auricular
6597,6597,artery morphogenesis
6604,6604,meiotic telomere tethering at nuclear periphery
6607,6607,Dental caries
6656,6656,cellular lactam metabolic process
6674,6674,tarsal gland
6709,6709,ZNF106
6718,6718,SMARCE1P1
6740,6740,SNAR-F
6759,6759,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
6763,6763,MARCHF5
6769,6769,Diarylquinolines
6798,6798,Degradation of the extracellular matrix
6831,6831,3-hydroxy-arachidoyl-CoA dehydratase activity
6856,6856,regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation
6864,6864,cellular amide catabolic process
6886,6886,ARHGEF7-IT1
6916,6916,VIIth nerve paralysis
6939,6939,drug transport across blood-brain barrier
7013,7013,Eprosartan
7048,7048,small nucleolar ribonucleoprotein complex assembly
7055,7055,ZNF16
7064,7064,regulation of cellular response to vascular endothelial growth factor stimulus
7105,7105,RARRES2P3
7126,7126,Parp2
7160,7160,regulation of arachidonic acid secretion
7194,7194,FARP1-AS1
7204,7204,PARGP1-AGAP4
7213,7213,miR-517 relationship with ARCN1 and USP1
7255,7255,SCARNA2
7260,7260,Angular cheilitis
7342,7342,Varicocele
7343,7343,pericardium development
7346,7346,Chorea Gravidarum
7364,7364,secondary active sulfate transmembrane transporter activity
7378,7378,cellular glucose homeostasis
7403,7403,FARSA-AS1
7422,7422,negative regulation of amyloid-beta clearance
7427,7427,inner ear receptor cell stereocilium organization
7475,7475,response to laminar fluid shear stress
7486,7486,positive regulation of pulmonary blood vessel remodeling
7497,7497,establishment of endothelial blood-brain barrier
7499,7499,polar microtubule
7504,7504,protein-arginine N-methyltransferase activity
7505,7505,Secondary adrenocortical insufficiency
7520,7520,intercellular bridge
7524,7524,cellular response to amyloid-beta
7532,7532,RARS2
7533,7533,cellular response to lead ion
7578,7578,Polyarthritis
7584,7584,glomerular mesangium development
7606,7606,Validated nuclear estrogen receptor beta network
7615,7615,Solar lentigo
7633,7633,platelet dense tubular network
7644,7644,Parkinsonian gait
7669,7669,Injection site warmth
7683,7683,Myocardial rupture
7716,7716,Cholinergic Muscarinic Agonists
7738,7738,Streptomycin
7750,7750,SCART1
7760,7760,RNF125
7765,7765,RAD51D
7784,7784,RNF10
7796,7796,endosomal part
7827,7827,cellular response to thapsigargin
7847,7847,aspartate metabolic process
